Manufacturer,Regulatory Class,Vehicle Type,Model Year,1750,2000,2250,2500,2750,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,All Classes
"GM","Car","Sedan/Wagon","1975","-","-","-","21.57184","25.83231","22.35623","19.41816","16.56049","15.01303","13.90370","12.51009","-","-","-","-","-","-","15.08484"
"GM","Car","Sedan/Wagon","1976","-","-","29.35732","26.75875","26.87151","23.41925","20.37071","17.94471","16.33634","14.77090","13.45903","-","-","-","-","-","-","16.57938"
"GM","Car","Sedan/Wagon","1977","-","-","31.37408","26.57590","28.64701","25.57279","20.69757","17.95340","16.98358","14.77711","13.30584","-","-","-","-","-","-","17.73535"
"GM","Car","Sedan/Wagon","1978","-","-","30.72397","27.67684","-","26.45574","20.33900","18.05151","16.33588","15.32293","12.42452","-","-","-","-","-","-","19.02397"
"GM","Car","Sedan/Wagon","1979","-","-","33.45484","28.65115","-","26.11658","20.25604","17.67653","16.75340","18.85059","11.24000","-","-","-","-","-","-","19.14239"
"GM","Car","Sedan/Wagon","1980","-","-","29.93177","27.36240","26.10700","23.90902","20.88877","19.05359","19.14510","13.16906","-","-","-","-","-","-","-","21.89077"
"GM","Car","Sedan/Wagon","1981","-","-","31.62522","29.40872","27.32707","25.21088","22.43686","20.87546","20.47858","12.32000","-","-","-","-","-","-","-","23.18589"
"GM","Car","Sedan/Wagon","1982","-","-","34.31676","32.35972","28.77160","27.23665","22.45683","20.81444","20.98306","11.78000","-","-","-","-","-","-","-","24.19694"
"GM","Car","Sedan/Wagon","1983","-","-","34.73573","32.98977","29.98220","26.53735","22.64912","20.36477","19.84932","11.78000","-","-","-","-","-","-","-","23.48538"
"GM","Car","Sedan/Wagon","1984","-","-","35.59255","33.70569","30.88769","26.63608","22.52957","20.74530","20.17137","11.78000","-","-","-","-","-","-","-","24.40280"
"GM","Car","Sedan/Wagon","1985","57.42159","-","40.77495","33.94073","30.94653","27.40173","23.39375","22.41976","21.01219","-","-","-","-","-","-","-","-","25.48850"
"GM","Car","Sedan/Wagon","1986","56.57053","-","40.52764","34.80002","30.25374","27.79263","24.41912","23.00174","22.04593","-","-","-","-","-","-","-","-","27.01227"
"GM","Car","Sedan/Wagon","1987","57.01185","46.10608","39.57157","34.37828","31.61078","28.59014","24.59249","22.51896","22.29000","-","-","-","-","-","-","-","-","27.24564"
"GM","Car","Sedan/Wagon","1988","51.54691","45.74319","40.04347","34.93443","32.06481","28.69478","25.78709","22.89536","22.91000","-","-","-","-","-","-","-","-","28.14813"
"GM","Car","Sedan/Wagon","1989","59.48000","48.14318","40.35332","33.89739","31.93005","28.26633","25.24300","23.07754","22.39000","-","-","-","-","-","-","-","-","27.44722"
"GM","Car","Sedan/Wagon","1990","65.26000","52.19143","-","35.40159","32.00814","28.46904","25.77053","22.57164","21.34398","-","-","-","-","-","-","-","-","27.28327"
"GM","Car","Sedan/Wagon","1991","65.27000","48.92188","-","36.29698","31.48826","27.80545","25.36887","23.13807","22.41244","-","-","-","-","-","-","-","-","27.16340"
"GM","Car","Sedan/Wagon","1992","65.26000","47.75970","-","34.64683","31.65883","27.84514","25.12621","22.77191","22.68155","-","-","-","-","-","-","-","-","26.69370"
"GM","Car","Sedan/Wagon","1993","65.26000","50.54675","-","35.46186","31.50839","28.10053","25.83948","22.78498","22.47621","-","17.61000","17.61000","-","-","-","-","-","27.31757"
"GM","Car","Sedan/Wagon","1994","65.82000","49.09246","-","35.29137","32.20672","29.22386","25.66355","23.07628","22.91999","-","18.30000","-","-","-","-","-","-","27.48591"
"GM","Car","Sedan/Wagon","1995","-","54.51000","39.51316","36.35135","33.09964","29.83631","25.87278","23.32071","22.81000","-","18.64000","-","-","-","-","-","-","27.32335"
"GM","Car","Sedan/Wagon","1996","-","-","-","37.16688","33.30023","30.42111","26.34887","24.16873","23.18500","-","18.17130","-","-","-","-","-","-","27.86719"
"GM","Car","Sedan/Wagon","1997","-","54.44850","37.87798","37.01086","33.05295","30.42559","26.58607","24.08739","-","-","19.49950","-","-","-","-","-","-","28.16746"
"GM","Car","Sedan/Wagon","1998","-","53.57460","38.56785","37.32026","33.58254","30.13791","26.39484","24.02869","-","-","17.18730","-","-","-","-","-","-","27.57507"
"GM","Car","Sedan/Wagon","1999","-","50.26700","38.07546","36.86957","34.51374","30.42009","26.48737","24.17965","-","-","-","19.27000","-","-","-","-","-","27.44441"
"GM","Car","Sedan/Wagon","2000","-","50.81570","37.78857","37.04704","35.22743","30.44682","26.89674","25.06174","-","-","18.28230","-","-","-","-","-","-","27.57580"
"GM","Car","Sedan/Wagon","2001","-","-","37.27910","36.72649","35.25488","30.96191","27.53723","25.32009","-","-","-","18.28230","-","-","-","-","-","28.12576"
"GM","Car","Sedan/Wagon","2002","-","-","-","36.73584","35.01306","30.49796","27.90389","25.50593","-","-","-","18.20360","-","-","-","-","-","28.53212"
"GM","Car","Sedan/Wagon","2003","-","-","-","-","-","32.28228","28.23822","25.59316","-","-","-","18.61370","-","-","-","-","-","28.59005"
"GM","Car","Sedan/Wagon","2004","-","-","-","-","34.48269","32.60101","28.36278","25.41914","-","-","19.99200","19.29650","-","-","-","-","-","29.11576"
"GM","Car","Sedan/Wagon","2005","-","-","-","-","34.30428","32.85573","28.96333","25.62386","20.40410","-","20.13020","18.99960","-","-","-","-","-","29.04579"
"GM","Car","Sedan/Wagon","2006","-","-","-","-","32.92628","32.65307","29.24432","25.92368","22.40970","-","-","-","17.90880","-","-","-","-","28.58405"
"GM","Car","Sedan/Wagon","2007","-","-","-","-","34.41883","32.74542","29.28821","26.42133","22.51294","19.86200","-","18.41300","-","-","-","-","-","28.84454"
"GM","Car","Sedan/Wagon","2008","-","-","-","-","34.58274","33.98548","29.21203","26.73370","23.05841","18.41300","-","18.41300","18.00840","-","-","-","-","28.61703"
"GM","Car","Sedan/Wagon","2009","-","-","-","-","35.49657","35.06024","31.85386","26.81053","22.78071","-","-","17.62530","17.43238","-","-","-","-","30.01053"
"GM","Car","Sedan/Wagon","2010","-","-","-","-","36.02008","35.99577","32.16565","26.97555","25.52066","-","-","18.30840","-","-","-","-","-","29.78005"
"GM","Car","Sedan/Wagon","2011","-","-","-","-","36.26721","44.21440","33.52973","27.80143","24.76144","21.84904","-","18.49415","-","-","-","-","-","29.96142"
"GM","Car","Sedan/Wagon","2012","-","-","-","-","-","39.05465","35.36576","28.89352","24.45534","-","-","-","-","-","-","-","-","32.42434"
"GM","Car","Sedan/Wagon","2013","-","-","-","43.27278","-","38.76501","35.42877","30.17188","23.92038","-","21.73360","21.73360","-","-","-","-","-","32.94291"
"GM","Car","Sedan/Wagon","2014","-","-","-","45.64810","-","39.08929","36.69209","30.19993","24.10282","-","23.06330","21.73360","-","-","-","-","-","33.95740"
"GM","Car","Sedan/Wagon","2015","-","-","-","45.63859","-","39.84153","37.64141","30.02037","24.12719","-","23.06330","20.74810","-","-","-","-","-","34.24780"
"GM","Car","Sedan/Wagon","2016","-","-","-","47.30531","-","43.45550","36.81260","30.61791","26.05791","-","21.73360","21.93620","-","-","-","-","-","35.09478"
"GM","Car","Sedan/Wagon","2017","-","-","-","47.18264","-","44.54728","37.41781","34.65653","26.58539","-","21.73360","21.73360","-","-","-","-","-","38.29402"
