Vehicle Type,Cylinder Number,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Drivetrain - Front,Drivetrain - 4WD,Drivetrain - Rear,Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle  (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,Average Number of Gears,Transmission - CVT (Non-Hybrid),4 or Fewer Gears,5 Gears,6 Gears,7 Gears,8 Gears,9 or More Gears
"Sedan/Wagon","2","1975","51","0.006213","15.79033","13.46494","12.22419","15.37189","660.01046","727.00094","578.13320","2898.664","-","151.8932","128.9199","-","0.849179","0.044447","19.51174","-","-","1.000","0.505","0.495","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","0.505","-","-","-","-","-"
"Sedan/Wagon","2","1976","27","0.002817","20.42732","17.41992","15.79216","19.93078","510.16307","562.74751","445.89320","2951.740","-","156.1392","132.1044","-","0.846335","0.044737","25.79029","-","-","1.000","0.401","0.599","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","3.0","-","1.000","-","-","-","-","-"
"Sedan/Wagon","2","1977","16","0.001396","22.33416","19.06980","17.04762","22.30331","466.02489","521.30444","398.46099","2965.555","-","157.2444","132.9333","-","0.845595","0.044812","28.48047","-","-","1.000","0.617","0.383","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sedan/Wagon","2","1978","2","0.000210","20.92979","17.83697","16.31770","20.12739","498.23475","544.62327","441.53767","2854.743","-","154.1897","130.6423","10.5897","0.847641","0.045872","25.52217","-","-","1.000","0.663","0.337","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.3","-","0.337","0.663","-","-","-","-"
"Sedan/Wagon","2","1979","52","0.004814","20.40367","17.45308","15.27624","21.13386","509.19366","581.75303","420.50998","2750.000","-","140.0000","125.0000","11.4293","0.892857","0.045455","24.02040","-","-","1.000","0.901","0.099","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.5","-","0.374","0.626","-","-","-","-"
"Sedan/Wagon","2","1980","53","0.005561","19.83808","16.97643","14.77145","20.76488","523.49049","601.63356","427.98229","2750.000","-","140.0000","100.0000","13.5086","0.714286","0.036364","23.36395","-","-","1.000","0.905","0.095","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.6","-","0.272","0.728","-","-","-","-"
"Sedan/Wagon","2","1981","34","0.003917","23.70312","20.20671","18.40288","22.95697","439.80444","482.91352","387.11556","2500.000","-","140.0000","100.0000","12.6906","0.714286","0.040000","25.29563","-","-","1.000","0.914","0.086","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.8","-","0.086","0.914","-","-","-","-"
"Sedan/Wagon","2","1982","51","0.006514","23.68299","20.18520","18.42293","22.85756","440.27301","482.38800","388.79914","2500.000","-","140.0000","100.0000","13.5594","0.714286","0.040000","25.27752","-","-","1.000","0.896","0.104","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.8","-","0.104","0.896","-","-","-","-"
"Sedan/Wagon","2","1983","61","0.007591","22.68021","19.33760","17.59446","22.00177","459.57103","505.10204","403.92201","2515.903","-","140.0000","100.0000","12.4311","0.714286","0.039769","24.32894","-","-","1.000","0.922","0.078","-","-","-","1.000","-","-","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.8","-","0.078","0.922","-","-","-","-"
"Sedan/Wagon","2","1984","41","0.003869","21.97294","18.78601","16.54182","22.52023","473.06478","537.24441","394.62300","2577.156","-","144.4885","108.6304","11.8713","0.748880","0.042041","24.20047","-","-","1.000","0.914","-","0.086","-","-","0.776","-","-","0.224","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.9","-","0.086","0.914","-","-","-","-"
"Sedan/Wagon","2","1985","59","0.005454","22.08333","18.88037","16.62203","22.63987","470.70046","534.65184","392.53766","2567.594","-","142.9126","105.9514","11.9239","0.739242","0.041207","24.23519","-","-","1.000","0.872","-","0.128","-","-","0.854","-","0.146","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.9","-","0.128","0.872","-","-","-","-"
"Sedan/Wagon","2","1986","51","0.004623","22.98694","19.61968","17.04833","23.92144","452.96362","521.28283","371.50773","2925.075","-","160.0000","146.0000","9.8157","0.912500","0.049993","28.68785","-","-","1.000","0.824","-","0.176","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.8","-","0.176","0.824","-","-","-","-"
"Sedan/Wagon","2","1987","51","0.004758","22.82042","19.42223","16.84758","23.62106","457.56843","527.49427","376.23198","3000.000","-","160.0000","152.4439","9.8391","0.952774","0.050815","29.13702","-","-","1.000","0.855","-","0.145","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.9","-","0.145","0.855","-","-","-","-"
"Sedan/Wagon","2","1988","39","0.003648","22.61751","19.20213","16.57577","23.41263","462.81324","536.14400","379.58150","3111.283","-","160.0000","150.0645","10.2494","0.937903","0.048474","29.85592","-","-","1.000","0.862","-","0.138","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.9","-","0.138","0.862","-","-","-","-"
"Sedan/Wagon","2","1989","9","0.000869","22.86686","19.37129","16.60093","23.76461","458.77163","535.33135","373.95947","3140.822","-","160.0000","163.3954","9.4991","1.021221","0.052319","30.39777","-","-","1.000","0.741","-","0.259","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.7","-","0.259","0.741","-","-","-","-"
"Sedan/Wagon","2","1990","11","0.001199","22.86602","19.31839","16.50684","23.67878","460.02806","538.38279","375.31493","3168.608","-","160.0000","162.2159","9.0031","1.013849","0.051503","30.57938","-","-","1.000","0.728","-","0.272","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.7","-","0.272","0.728","-","-","-","-"
"Sedan/Wagon","2","1991","8","0.000915","22.80006","19.21252","16.37721","23.50677","462.56303","542.64444","378.06130","3202.564","-","160.0000","161.0410","9.1656","1.006506","0.050594","30.73531","-","-","1.000","0.747","-","0.253","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","4.7","-","0.253","0.747","-","-","-","-"
"Sedan/Wagon","2","1992","0","0.000000","22.69000","19.15535","15.87024","24.35296","463.94338","559.97890","364.92482","3500.000","-","160.0000","160.0000","9.2520","1.000000","0.045714","33.52187","-","-","1.000","1.000","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","5.0","-","-","1.000","-","-","-","-"
