Vehicle Type,Drive Type,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle  (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,Average Number of Gears,Transmission - CVT (Non-Hybrid),Cylinders,4 or Fewer Gears,5 Gears,6 Gears,7 Gears,8 Gears,9 or More Gears
"Sedan/Wagon","Front Wheel Drive","1975","539","0.065","23.42258","19.97498","18.10830","22.85446","444.90655","490.76949","388.85184","2790.092","-","146.9716","88.4827","-","0.703937","0.030337","27.59936","0.643","0.332","0.024","-","-","0.824","-","0.176","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","-","-","4.6","0.566","0.037","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1976","561","0.058","24.03987","20.47429","18.85165","22.88146","434.05651","471.41757","388.39301","2843.940","-","163.1122","95.0386","-","0.680400","0.031917","28.78379","0.597","0.403","-","-","-","0.811","-","0.189","-","-","-","-","-","-","-","-","1.000","-","-","-","-","-","3.0","-","4.8","1.000","-","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1977","774","0.068","26.20526","22.34376","20.30830","25.46302","398.73105","438.66025","349.92869","2706.556","-","142.3042","87.6482","-","0.691865","0.031494","30.64317","0.682","0.318","-","-","-","0.659","-","0.313","-","0.028","0.028","-","-","-","-","-","0.972","-","-","-","-","-","-","-","4.7","-","-","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1978","1075","0.096","26.80552","22.83690","20.94558","25.66992","390.48505","425.71599","347.42501","2589.958","-","129.3916","81.7494","14.4842","0.692677","0.031015","30.05647","0.662","0.296","0.042","-","-","0.653","-","0.310","-","0.036","0.036","-","-","-","-","-","0.964","-","-","-","-","-","3.8","-","4.5","0.802","0.198","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1979","1283","0.119","26.38263","22.47099","20.68848","25.11584","398.08558","432.32184","356.24126","2633.767","-","137.3500","84.4687","15.8994","0.674087","0.031241","29.84802","0.572","0.326","0.064","-","0.039","0.747","-","0.196","-","0.056","0.056","-","-","-","-","-","0.944","-","-","-","-","-","3.7","-","4.6","0.804","0.196","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1980","2804","0.297","26.92754","22.96343","20.82175","26.26539","389.74423","429.77203","340.82137","2644.978","-","137.6377","85.7482","16.0106","0.651672","0.032008","30.74871","0.455","0.502","0.021","-","0.022","0.822","-","0.095","0.016","0.068","0.068","-","-","-","-","-","0.932","-","-","-","-","-","3.6","-","4.7","0.836","0.164","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1981","3236","0.370","28.57963","24.36255","22.19131","27.67166","366.97482","402.88079","323.08975","2646.254","-","133.4459","85.3259","15.7648","0.672357","0.032119","32.55288","0.452","0.533","-","-","0.016","0.873","-","0.054","0.018","0.054","0.054","-","-","-","-","-","0.946","-","-","-","-","-","3.7","-","4.4","0.806","0.194","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1982","3568","0.456","30.15559","25.72738","23.20981","29.65946","346.50272","384.09007","300.56261","2665.196","-","126.6995","83.2175","17.2686","0.676563","0.031013","34.50033","0.400","0.268","0.322","-","0.010","0.784","-","0.050","0.139","0.027","0.027","-","-","-","-","-","0.973","-","-","-","-","-","3.6","-","4.3","0.810","0.190","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1983","3784","0.473","30.32861","25.85973","23.48781","29.50094","344.22642","378.99306","301.73386","2682.249","-","129.4975","85.5825","15.5684","0.680616","0.031679","34.98478","0.364","0.238","0.389","-","0.010","0.678","-","0.058","0.251","0.013","0.013","-","-","-","-","-","0.987","-","-","-","-","-","3.7","-","4.4","0.729","0.271","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1984","5737","0.537","29.70197","25.32962","22.97341","28.95988","351.42171","387.45528","307.38068","2752.097","-","132.9638","89.9668","15.2108","0.693784","0.032529","35.22058","0.303","0.273","0.424","-","0.001","0.619","-","0.086","0.279","0.016","0.016","-","-","-","-","-","0.984","-","-","-","-","-","3.6","-","4.4","0.768","0.232","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1985","6648","0.616","29.36290","25.05395","22.58307","28.92154","354.95349","393.78575","307.49183","2825.308","-","142.3312","97.5629","14.3516","0.712160","0.034380","35.69453","0.263","0.251","0.486","-","-","0.448","-","0.210","0.335","0.007","0.007","-","-","-","-","-","0.993","-","-","-","-","-","3.7","-","4.6","0.787","0.213","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1986","7831","0.711","29.89881","25.41851","22.82528","29.39676","349.73402","389.46481","302.40848","2843.948","-","139.8513","99.9482","13.6912","0.729570","0.034745","36.37379","0.271","0.205","0.524","-","-","0.324","-","0.331","0.342","0.003","0.003","-","-","-","-","-","0.997","-","-","-","0.057","-","3.7","-","4.5","0.775","0.225","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1987","8267","0.770","29.72824","25.18118","22.55432","29.11921","352.93666","394.04229","305.20651","2868.528","-","139.6707","102.8648","13.7544","0.751564","0.035368","36.28974","0.261","0.174","0.565","-","-","0.252","-","0.380","0.367","0.000","0.000","-","-","-","-","-","1.000","-","-","-","0.179","-","3.8","-","4.5","0.777","0.223","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1988","8768","0.817","29.96145","25.28916","22.54384","29.33403","351.41544","394.20974","302.95873","2911.110","-","141.8392","107.2988","13.6289","0.775097","0.036358","36.94547","0.255","0.100","0.646","-","-","0.163","-","0.485","0.351","-","-","-","-","-","-","-","1.000","-","-","-","0.231","-","3.8","-","4.7","0.800","0.200","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1989","8267","0.825","29.25235","24.62390","21.76276","28.80931","360.92509","408.37499","308.49080","2980.413","-","146.9188","114.8012","12.6761","0.802622","0.038096","36.80540","0.217","0.095","0.686","-","-","0.106","-","0.580","0.314","0.000","0.000","-","-","-","-","-","1.000","-","-","-","0.269","-","3.8","0.002","4.7","0.819","0.179","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1990","7455","0.846","28.64899","24.04954","21.11503","28.28965","369.53629","420.89301","314.14984","3082.043","-","151.2502","123.4216","11.4837","0.844453","0.039701","37.12892","0.197","0.071","0.731","-","-","0.012","-","0.752","0.236","0.000","0.000","-","-","-","-","-","1.000","-","-","-","0.344","-","3.8","0.000","4.8","0.829","0.171","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1991","7096","0.832","28.89485","24.16324","21.18173","28.36412","367.81346","419.58466","313.34002","3045.678","-","148.7998","123.7431","11.5446","0.859495","0.040174","36.93978","0.210","0.053","0.737","-","-","0.000","-","0.775","0.223","0.001","0.001","-","-","-","-","-","0.999","-","-","-","0.354","-","3.9","-","4.7","0.810","0.190","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1992","6551","0.808","28.42626","23.73403","20.54267","28.24411","374.44675","432.61741","314.65477","3119.822","-","157.0828","131.1281","10.9799","0.868386","0.041566","37.15936","0.185","0.060","0.754","-","-","0.000","-","0.903","0.097","0.000","0.000","-","-","-","-","-","1.000","-","-","-","0.345","-","3.9","0.000","4.9","0.831","0.169","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1993","7195","0.851","28.95261","24.07095","20.82603","28.53006","369.20027","426.72560","311.49607","3109.031","-","154.5497","130.2107","10.3111","0.870891","0.041417","37.54887","0.187","0.050","0.763","-","-","-","-","0.919","0.081","-","-","-","-","-","-","-","1.000","-","-","-","0.379","-","3.9","-","4.9","0.824","0.176","0.000","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1994","7104","0.844","28.92785","23.97510","20.65303","28.45829","370.67622","430.30015","312.28160","3142.644","-","152.7078","132.8903","10.1825","0.894766","0.041742","37.78678","0.174","0.038","0.788","-","-","-","-","0.939","0.061","-","-","-","-","-","-","-","1.000","-","-","-","0.438","-","4.0","-","4.9","0.834","0.166","0.000","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1995","7701","0.820","29.23501","24.17217","20.62339","28.93562","367.65428","430.91853","307.13007","3154.717","-","154.2656","144.0543","9.9536","0.955610","0.045044","38.22749","0.168","0.009","0.824","-","-","-","-","0.986","0.014","-","-","-","-","-","-","-","1.000","-","-","-","0.537","-","4.0","-","5.0","0.835","0.165","0.000","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1996","6829","0.865","28.97201","23.87383","20.32746","28.52142","372.27358","437.21989","311.61247","3199.630","-","153.1922","146.8874","10.2860","0.974198","0.045401","38.25360","0.146","0.010","0.844","-","-","-","-","0.987","0.013","0.001","0.001","-","-","-","-","-","0.999","0.003","-","-","0.611","-","4.0","0.000","4.9","0.857","0.143","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1997","7213","0.865","29.12475","23.91450","20.29843","28.55328","371.63182","437.83547","311.25709","3196.703","-","152.9692","148.6967","10.2128","0.984689","0.045853","38.27962","0.131","0.007","0.861","-","-","-","-","0.990","0.009","0.000","0.000","-","-","-","-","-","1.000","0.007","-","-","0.608","-","4.0","0.001","4.9","0.867","0.132","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1998","6937","0.870","29.16706","23.87542","20.16883","28.54809","372.27821","440.69159","311.34753","3243.051","-","154.5226","151.5486","10.3908","0.997772","0.046229","38.79754","0.115","0.004","0.880","-","-","-","-","0.997","0.002","0.002","0.002","-","-","-","-","-","0.998","0.012","-","-","0.627","-","4.1","0.001","4.9","0.881","0.118","-","-","-","-"
"Sedan/Wagon","Front Wheel Drive","1999","7303","0.872","28.74358","23.45887","19.76158","28.01776","378.87292","449.75535","317.22746","3306.927","-","156.9590","156.2629","10.2639","1.010300","0.046748","38.82666","0.100","0.006","0.894","-","-","-","-","0.998","0.001","0.001","0.001","-","-","-","-","-","0.999","0.022","-","-","0.663","-","4.1","0.000","5.0","0.891","0.108","0.000","-","-","-"
"Sedan/Wagon","Front Wheel Drive","2000","7750","0.849","28.77568","23.39322","19.68094","27.85470","379.98769","451.65701","319.12953","3313.101","-","155.9320","158.4634","9.7533","1.029828","0.047327","38.79265","0.097","0.009","0.893","-","-","-","-","0.997","-","0.003","0.003","-","-","-","-","0.001","0.997","0.022","-","-","0.665","0.225","4.1","0.000","5.0","0.881","0.117","0.002","-","-","-"
"Sedan/Wagon","Front Wheel Drive","2001","7069","0.841","29.23287","23.64977","19.89082","28.04371","375.88315","446.91170","316.99366","3311.618","-","155.4329","158.4718","9.5790","1.033719","0.047370","39.30498","0.099","0.010","0.888","0.002","-","-","-","0.997","-","0.003","0.003","-","-","-","-","0.003","0.994","0.030","-","-","0.673","0.266","4.1","0.000","4.9","0.861","0.136","0.000","-","-","-"
"Sedan/Wagon","Front Wheel Drive","2002","7050","0.849","29.45315","23.70183","19.97573","27.91754","375.11396","445.07849","318.47444","3319.630","-","156.9414","163.1445","9.5563","1.056272","0.048647","39.49369","0.095","0.002","0.898","0.003","-","-","-","0.995","-","0.005","0.005","-","-","-","-","0.004","0.992","0.036","-","-","0.697","0.337","4.1","0.002","4.9","0.849","0.138","0.008","-","-","-"
"Sedan/Wagon","Front Wheel Drive","2003","6494","0.820","30.08854","24.11201","20.22302","28.43598","368.72522","439.62526","312.66310","3320.031","-","154.2676","163.1862","9.3873","1.077085","0.048766","40.23983","0.101","-","0.888","0.006","-","-","-","0.995","-","0.005","0.005","-","-","-","-","0.007","0.988","0.016","-","-","0.738","0.419","4.3","0.005","4.8","0.749","0.224","0.016","-","-","-"
"Sedan/Wagon","Front Wheel Drive","2004","6093","0.808","30.17475","24.10566","20.10533","28.48272","368.80773","442.18607","312.13369","3356.509","-","157.1754","169.3041","9.2287","1.095534","0.049903","40.68279","0.085","0.003","0.896","0.011","-","-","-","0.996","-","0.004","0.004","-","-","-","-","0.012","0.985","0.037","-","-","0.782","0.439","4.3","0.006","4.8","0.723","0.244","0.016","-","-","-"
"Sedan/Wagon","Front Wheel Drive","2005","6402","0.798","31.10025","24.66358","20.63473","28.92380","360.51247","430.89937","307.41358","3336.960","-","152.7617","165.3159","9.2494","1.096729","0.049014","41.49907","0.082","0.001","0.889","0.022","-","-","-","0.995","-","0.005","0.005","-","-","-","-","0.026","0.969","0.025","-","-","0.787","0.541","4.4","0.005","4.7","0.657","0.278","0.038","-","-","-"
