MPG Variable,Regulatory Class,Model Year,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,35 to 40,40 to 45,45 to 50,50 to 55,55 to 60,60 to 65,65 to 70,70 to 75,75 to 80,80 to 85,85 to 90,90 to 95,95 to 100,100 to 105,105 to 110,110 to 115,120 to 125,125 to 130,130 to 135,135 to 140,140 to 145,145 to 150,150 to 155,155 to 160,160 to 165,165 to 170,170 to 175,175 to 180,180 to 185,185 to 190,190 to 195,195 to 200,200 to 205,205 to 210,210 to 215,215 to 220,220 to 225
"Real-World MPG","Car","1975","-","6.6%","57.4%","23.9%","9.0%","3.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1976","-","0.3%","57.6%","24.4%","13.2%","3.8%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1977","-","0.3%","44.0%","36.6%","10.2%","6.5%","1.5%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1978","-","0.3%","26.8%","48.4%","13.6%","6.9%","3.6%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1979","-","0.1%","24.2%","48.5%","17.9%","8.0%","1.0%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1980","-","0.0%","5.7%","44.7%","33.0%","12.7%","2.7%","1.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1981","-","0.0%","2.6%","38.1%","33.6%","18.4%","5.1%","1.5%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1982","-","0.0%","0.3%","31.1%","31.6%","27.9%","7.0%","1.2%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1983","-","0.0%","0.3%","33.7%","29.6%","24.7%","9.5%","1.9%","0.4%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1984","-","0.0%","0.1%","26.9%","33.2%","30.7%","5.5%","3.0%","0.4%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1985","-","0.0%","0.1%","27.4%","29.3%","33.5%","7.3%","1.5%","0.4%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1986","-","0.0%","0.3%","16.7%","36.4%","36.6%","7.3%","1.9%","0.3%","0.3%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1987","-","0.0%","0.3%","16.0%","40.0%","33.1%","8.6%","1.5%","0.0%","0.3%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1988","-","0.0%","0.3%","14.4%","40.5%","33.8%","8.1%","2.5%","0.0%","0.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1989","-","0.0%","0.3%","14.5%","46.3%","30.5%","6.2%","1.8%","0.0%","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1990","-","0.0%","0.2%","14.1%","50.7%","28.7%","5.2%","0.7%","0.1%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1991","-","0.0%","0.2%","16.5%","49.1%","26.8%","5.8%","0.9%","0.6%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1992","-","0.0%","0.2%","14.1%","56.0%","22.1%","5.0%","1.6%","0.8%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1993","-","0.0%","0.1%","17.4%","50.8%","24.2%","5.2%","1.5%","0.6%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","Car","1994","-","-","0.1%","18.8%","50.7%","23.5%","4.9%","1.4%","0.6%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
