Manufacturer,Model Year,Regulatory Class,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Horsepower (HP),Footprint (sq. ft.)
All,1975,All,13.0597,12.01552,14.61167,680.59612,739.738,608.3116,4060.399,137.3346,-
All,1976,All,14.22136,13.18117,15.73946,625.02238,674.34147,564.74348,4079.198,135.0839,-
All,1977,All,15.06743,14.0058,16.60587,589.9988,634.71366,535.34732,3981.818,135.9847,-
All,1978,All,15.83777,14.68193,17.5239,561.62442,605.82637,507.59981,3715.238,129.0248,-
All,1979,All,15.91271,14.87711,17.39245,559.69495,598.63764,512.09833,3655.465,123.5922,-
All,1980,All,19.16493,17.61932,21.4665,465.93524,506.80269,415.98614,3227.876,103.8276,-
All,1981,All,20.52057,18.83051,23.04893,436.03635,475.18566,388.1872,3201.759,102.1236,-
All,1982,All,21.07205,19.20172,23.91969,424.63837,465.95156,374.14447,3201.843,102.9528,-
All,1983,All,20.95239,19.04058,23.88334,425.53494,468.23629,373.34441,3257.34,106.9483,-
All,1984,All,21.00023,19.05715,23.9898,424.02812,467.2359,371.2186,3261.576,108.5963,-
All,1985,All,21.31942,19.31764,24.41114,417.30522,460.53346,364.47071,3271.127,114.1306,-
All,1986,All,21.84433,19.75389,24.99472,407.03768,450.10437,355.74272,3237.974,114.3758,-
All,1987,All,21.97197,19.75719,25.26006,404.60524,449.95539,351.9451,3220.507,117.6397,-
All,1988,All,21.86353,19.57179,25.20576,406.51876,454.11969,352.61548,3283.465,123.469,-
All,1989,All,21.42049,19.07833,24.78156,414.92705,465.86478,358.65232,3351.457,128.748,-
All,1990,All,21.15752,18.72132,24.61039,420.08667,474.75185,361.14877,3426.038,135.3422,-
All,1991,All,21.25642,18.75908,24.71816,418.15476,473.82065,359.59491,3409.555,137.9169,-
All,1992,All,20.79365,18.19781,24.36403,427.42784,488.39741,364.79234,3512.305,145.2572,-
All,1993,All,20.8794,18.22812,24.44455,425.63491,487.54351,363.55755,3518.93,146.8406,-
All,1994,All,20.37752,17.77373,23.78827,436.12068,500.01065,373.58978,3603.432,152.2823,-
All,1995,All,20.48563,17.7257,24.06812,433.83372,501.38187,369.25888,3612.509,158.1889,-
All,1996,All,20.43168,17.60332,24.0369,435.0069,504.89874,369.76297,3658.786,163.9606,-
All,1997,All,20.15038,17.35297,23.62041,441.06037,512.16145,376.26591,3727.285,169.2409,-
All,1998,All,20.09648,17.22728,23.59384,442.26071,515.91793,376.7046,3744.005,171.471,-
All,1999,All,19.69506,16.87145,23.04703,451.26399,526.78681,385.63273,3835.375,178.902,-
All,2000,All,19.76896,16.93153,23.04602,449.58574,524.92714,385.65762,3821.286,180.9861,-
All,2001,All,19.62363,16.80797,22.78645,452.92118,528.79289,390.05579,3879.288,186.9203,-
All,2002,All,19.45354,16.63745,22.54129,456.90374,534.23893,394.31726,3950.932,195.4821,-
All,2003,All,19.58451,16.67734,22.7148,453.84039,532.9512,391.29896,3998.835,198.5784,-
All,2004,All,19.2986,16.34174,22.43337,460.55651,543.88909,396.19983,4111.072,210.5212,-
All,2005,All,19.88375,16.78872,23.09573,447.07229,529.49006,384.89749,4059.441,209.0953,-
All,2006,All,20.1333,16.98233,23.41006,441.57021,523.49373,379.76825,4066.533,213.1841,-
All,2007,All,20.6039,17.38117,23.95452,431.37448,511.35658,371.0371,4093.315,216.9897,-
All,2008,All,20.96833,17.67455,24.39839,423.90716,502.90278,364.31396,4085.003,218.5559,48.85985
All,2009,All,22.40281,18.91546,26.03912,396.92541,470.1042,341.49614,3914.193,207.7209,47.93705
All,2010,All,22.59206,19.11219,26.1893,393.65429,465.33221,339.58148,4001.323,213.6361,48.54913
All,2011,All,22.28844,18.83713,25.86317,398.99558,472.11781,343.83319,4125.934,229.9718,49.54439
All,2012,All,23.56593,19.94669,27.30319,377.31888,445.79746,325.6596,3978.812,221.7796,48.81134
All,2013,All,24.17888,20.49116,27.97717,367.53789,433.74031,317.59572,4002.973,225.8506,49.08053
All,2014,All,24.11047,20.4402,27.88816,368.65513,434.90361,318.6782,4059.639,230.2484,49.72043
All,2015,All,24.64986,20.92874,28.46829,360.49589,424.68316,312.07392,4035.455,228.8536,49.4185
All,2016,All,24.70826,21.02,28.47909,359.3451,422.45529,311.72153,4035.013,229.997,49.51239
All,2017,All,24.86173,21.12898,28.68466,356.71804,419.80426,309.12662,4093.218,233.6287,49.82204
All,2018,All,25.10541,21.47085,28.78075,352.71839,412.58587,307.55516,4136.722,240.638,50.35439
All,2019,All,24.90831,21.32162,28.52864,355.65871,415.66335,310.39206,4155.617,245.0603,50.76884
All,2020,All,25.38311,21.91238,28.82768,348.77204,404.25285,306.9181,4166.238,245.8669,50.91728
All,2021,All,25.34024,22.1546,28.42346,348.24205,398.71693,310.16749,4287.392,252.2007,51.38513
BMW,1975,All,14.69368,13.38272,16.6922,604.81785,664.06536,532.40422,3213.783,138.2065,-
BMW,1976,All,15.64719,14.47793,17.36084,567.96151,613.83079,511.89906,3178.449,133.2854,-
BMW,1977,All,16.88407,15.49662,18.95869,526.35416,573.47998,468.75593,3055.938,128.7927,-
BMW,1978,All,16.36842,14.69587,19.01319,542.93584,604.72768,467.41248,3064.91,128.0398,-
BMW,1979,All,16.65964,15.0048,19.25514,533.445,592.277,461.53921,3150.911,132.3903,-
BMW,1980,All,21.26065,19.61237,23.69452,418.00228,453.13233,375.06555,3064.127,121.9733,-
BMW,1981,All,21.75489,20.07429,24.23465,408.50593,442.70553,366.70642,3004.663,117.2526,-
BMW,1982,All,21.58696,19.92571,24.03622,411.68381,446.00658,369.73375,2979.731,118.4601,-
BMW,1983,All,21.55032,19.81891,24.12643,412.3837,448.41023,368.35127,3019.453,126.4492,-
